"zeta_order","n_threshold","env_vars","status","error_msg","a_env","b_dist","c_loc","d_unexp"
2,20,"WUI","Success",NA,0.00626635851644991,0.228137538025273,0.365640846175906,0.399955257282371
2,20,"WHP","Success",NA,0.00936581268773246,0.22503808385399,0.351505942112378,0.414090161345899
2,20,"FHSZ","Error","singular fit encountered",NA,NA,NA,NA
2,20,"WUI, WHP","Success",NA,0.00805664237240394,0.226347254169319,0.357665062832526,0.407931040625751
2,20,"WUI, FHSZ","Success",NA,0.00625374479285429,0.228150151748869,0.365640846175906,0.399955257282371
2,20,"WHP, FHSZ","Success",NA,0.00909023814768323,0.22531365839404,0.351508058748202,0.414088044710075
2,20,"WUI, WHP, FHSZ","Success",NA,0.00801604572642639,0.226387850815297,0.357665062832526,0.407931040625751
10,20,"WUI","Error","length of 'dimnames' [1] not equal to array extent",NA,NA,NA,NA
10,20,"WHP","Error","length of 'dimnames' [1] not equal to array extent",NA,NA,NA,NA
10,20,"FHSZ","Error","length of 'dimnames' [1] not equal to array extent",NA,NA,NA,NA
10,20,"WUI, WHP","Error","length of 'dimnames' [1] not equal to array extent",NA,NA,NA,NA
10,20,"WUI, FHSZ","Error","length of 'dimnames' [1] not equal to array extent",NA,NA,NA,NA
10,20,"WHP, FHSZ","Error","length of 'dimnames' [1] not equal to array extent",NA,NA,NA,NA
10,20,"WUI, WHP, FHSZ","Error","length of 'dimnames' [1] not equal to array extent",NA,NA,NA,NA
